author,rating,title,content,date,source,app
Jsonman,1,Till counting tool broken,Every update seems to break yet another basic pos function. Latest one replacing the number pad in the till counting tool on iPad with a new number pad that won’t stay inline with the current bill type you are on. Also save the last field you input unless clicking out. The work around my team has to come up with every update is beyond supportable.,2026-02-01T16:55:23-07:00,Shopify,Shopify
sugvolpentaper,1,Not User friendly,The fact that you have to use another website along with Shopify just to he able to use Shopify properly is actually counterproductive. And not very smart.,2026-02-01T07:20:08-07:00,Shopify,Shopify
Jovialcity,1,Zero support from Shopify,"Shopify is great until you have a problem, then they provide almost no support, even making it extremely difficult to contact them. I’ve been
Locked out of all their mobile apps for 2 weeks because they failed to update my new phone number. Their “recovery codes” don’t work to get me back on. Their support agents say they can’t help. Their escalation gets no response. I’m sitting here unable to run my business for 2 weeks now simply because they do not provide timely support. Even when they do reply after several days, none of their emails allow for a reply so you can’t contact them. They obviously have gotten too big for their own good and the user experience is out the window. I promise you this: if you don’t get my account working again immediately, my site will be moving to another platform.",2026-02-01T07:05:09-07:00,Shopify,Shopify
86free,5,Firsts in last ones out,👽,2026-01-31T16:29:33-07:00,Shopify,Shopify
Nick Aiden’s,1,DONT SELL ON HERE,The own people that work here steal information and are no help when you want it do not start your business here,2026-01-30T10:21:10-07:00,Shopify,Shopify
Guess App Store,4,Does not download the app,"I just updated the app and logged in. everything seems to be as usual, but at the end of creating registration and logging into the application, an error window appears",2026-01-29T10:19:50-07:00,Shopify,Shopify
hondzilla,3,Great app but,Great app but it absolutely sucks up your phones battery,2026-01-25T23:44:50-07:00,Shopify,Shopify
Lensky TDN,5,G,Good,2026-01-25T21:48:22-07:00,Shopify,Shopify
lkagd,5,Me,Shopify deal is so fire!,2026-01-24T06:11:38-07:00,Shopify,Shopify
J (former Robinhood user),1,DO NOT RECOMMEND,"Shopify will suspend your account and hold your funds for 120 days. They’ll take their monthly subscription fee during that time and allow fraudulent chargebacks against your Terms and Conditions and Store Policies without offering a solution for payment functionality. Chargebacks will continue to be withdrawn from your account but they won’t allow you to accept payments or receive the payouts that are being held. 

If cashflow is critical to your business, do not use Shopify.",2026-01-23T22:20:29-07:00,Shopify,Shopify
Dr3hgfrr,5,Nice,I love it,2026-01-22T11:04:01-07:00,Shopify,Shopify
Originator 88,2,Bad,"This app will log you out if you switch to another iPad app for even a moment (like your browser). It also doesn’t seem to support Shopify store apps as I can’t get any to load, despite it showing them in the side bar and allowing you to click them. So fairly worthless.",2026-01-19T09:34:46-07:00,Shopify,Shopify
qjfidvybrj,3,No notifications,There is no notifications on my iPhone recently. Please fix it soon.,2026-01-18T23:22:03-07:00,Shopify,Shopify
Окоьор,5,Thank you Shopify,This is the best platform for your business,2026-01-18T02:49:14-07:00,Shopify,Shopify
ljfg,1,Terrible,Still a useless app. They let people win fraudulent charges even though you submitted proof the item was sent. They charge hidden fees as well. May as well go to Ebay or Etsy.,2026-01-16T10:01:09-07:00,Shopify,Shopify
Thevmarie,2,Trial causes order issues,"Tried a trial, wasn’t full version and didn’t allow for orders to go through. Was hard to reactivate full version and dissacocuate from the trial to flip a switch to full. Even after reinstating a full plan payment it still said cannot accept payments at purchase. Easier would be better",2026-01-14T13:07:17-07:00,Shopify,Shopify
B.biz,1,Your money will get stuck,"I've tried many times to collect my money out of the account and into my bank account but it stops your every time, either saying “its invalid” or taking to the website where your not even logged into.",2026-01-07T16:25:42-07:00,Shopify,Shopify
Badder34,1,Stay Away,"Tried it, tried to cancel it. Still paying 5 months later.",2026-01-06T12:46:40-07:00,Shopify,Shopify
